year,地域コード,地域,昼間人口,常住人口,昼夜間比率
2015,13103,港区,940785.0,243283.0,386.7
2015,13112,世田谷区,856870.0,903346.0,94.9
2015,13101,千代田区,853068.0,58406.0,1460.6
2015,13104,新宿区,775549.0,333560.0,232.5
2015,13111,大田区,693865.0,717082.0,96.8
2015,13121,足立区,608968.0,670122.0,90.9
2015,13102,中央区,608603.0,141183.0,431.1
2015,13108,江東区,608532.0,498109.0,122.2
2015,13120,練馬区,605084.0,721722.0,83.8
2015,13123,江戸川区,561479.0,681298.0,82.4
2015,13109,品川区,544022.0,386855.0,140.6
2015,13113,渋谷区,539109.0,224533.0,240.1
2015,13119,板橋区,508099.0,561916.0,90.4
2015,13115,杉並区,479975.0,563997.0,85.1
2015,13116,豊島区,417146.0,291167.0,143.3
2015,13122,葛飾区,372335.0,442913.0,84.1
2015,13105,文京区,346132.0,219724.0,157.5
2015,13117,北区,329753.0,341076.0,96.7
2015,13114,中野区,313270.0,328215.0,95.4
2015,13106,台東区,303931.0,198073.0,153.4
2015,13110,目黒区,293832.0,277622.0,105.8
2015,13107,墨田区,279181.0,256274.0,108.9
2015,13118,荒川区,194004.0,212264.0,91.4
2020,13103,港区,972673.0,260486.0,373.4
2020,13101,千代田区,903780.0,66680.0,1355.4
2020,13112,世田谷区,854838.0,943664.0,90.6
2020,13104,新宿区,793528.0,349385.0,227.1
2020,13111,大田区,722027.0,748081.0,96.5
2020,13108,江東区,633813.0,524310.0,120.9
2020,13102,中央区,633390.0,169179.0,374.4
2020,13121,足立区,619375.0,695043.0,89.1
2020,13120,練馬区,601359.0,752608.0,79.9
2020,13109,品川区,582156.0,422488.0,137.8
2020,13123,江戸川区,571717.0,697932.0,81.9
2020,13113,渋谷区,551344.0,243883.0,226.1
2020,13119,板橋区,523358.0,584483.0,89.5
2020,13115,杉並区,498067.0,591108.0,84.3
2020,13116,豊島区,412070.0,301599.0,136.6
2020,13122,葛飾区,376832.0,453093.0,83.2
2020,13105,文京区,353648.0,240069.0,147.3
2020,13117,北区,332018.0,355213.0,93.5
2020,13114,中野区,325767.0,344880.0,94.5
2020,13106,台東区,307176.0,211444.0,145.3
2020,13110,目黒区,301801.0,288088.0,104.8
2020,13107,墨田区,281971.0,272085.0,103.6
2020,13118,荒川区,193640.0,217475.0,89.0
