地域,都外通学者_2015,都外通学者_2020,増減
新宿区,30799.0,23574.0,-7225.0
世田谷区,31852.0,25256.0,-6596.0
千代田区,32572.0,26143.0,-6429.0
豊島区,21796.0,15746.0,-6050.0
渋谷区,21067.0,15121.0,-5946.0
文京区,23988.0,19413.0,-4575.0
港区,13831.0,10736.0,-3095.0
板橋区,10299.0,7858.0,-2441.0
品川区,10350.0,8050.0,-2300.0
杉並区,6907.0,5093.0,-1814.0
大田区,6961.0,5732.0,-1229.0
目黒区,6765.0,5999.0,-766.0
北区,5878.0,5126.0,-752.0
中野区,5346.0,4656.0,-690.0
台東区,2534.0,1889.0,-645.0
葛飾区,2707.0,2135.0,-572.0
練馬区,3860.0,3400.0,-460.0
江戸川区,3845.0,3400.0,-445.0
江東区,3417.0,3009.0,-408.0
荒川区,2042.0,1670.0,-372.0
中央区,1308.0,1030.0,-278.0
足立区,4605.0,4419.0,-186.0
墨田区,1694.0,1646.0,-48.0
