地域,year,就業者,通学者,その他,未満15歳,昼間人口_増減
豊島区,2015,215248.0,56061.0,67251.0,78586.0,-5076.0
豊島区,2020,230593.0,62044.0,64420.0,55013.0,-5076.0
練馬区,2015,183557.0,63681.0,205343.0,152503.0,-3725.0
練馬区,2020,211897.0,71049.0,201630.0,116783.0,-3725.0
世田谷区,2015,276479.0,120823.0,227211.0,232357.0,-2032.0
世田谷区,2020,303885.0,129256.0,225311.0,196386.0,-2032.0
荒川区,2015,80051.0,17443.0,57032.0,39478.0,-364.0
荒川区,2020,86732.0,18547.0,58145.0,30216.0,-364.0
北区,2015,130636.0,32147.0,97566.0,69404.0,2265.0
北区,2020,135884.0,34006.0,107351.0,54777.0,2265.0
墨田区,2015,146122.0,21302.0,69207.0,42550.0,2790.0
墨田区,2020,155169.0,23306.0,67255.0,36241.0,2790.0
台東区,2015,189188.0,17319.0,44968.0,52456.0,3245.0
台東区,2020,202135.0,17685.0,41571.0,45785.0,3245.0
葛飾区,2015,133396.0,37943.0,131527.0,69469.0,4497.0
葛飾区,2020,147103.0,40250.0,135028.0,54451.0,4497.0
文京区,2015,178831.0,67476.0,52242.0,47583.0,7516.0
文京区,2020,190138.0,69499.0,48167.0,45844.0,7516.0
目黒区,2015,128729.0,32378.0,69252.0,63473.0,7969.0
目黒区,2020,137807.0,34505.0,71344.0,58145.0,7969.0
江戸川区,2015,199184.0,66124.0,185811.0,110360.0,10238.0
江戸川区,2020,211819.0,72264.0,194585.0,93049.0,10238.0
足立区,2015,220322.0,58328.0,188422.0,141896.0,10407.0
足立区,2020,242319.0,62607.0,216077.0,98372.0,10407.0
渋谷区,2015,373203.0,50504.0,49856.0,65546.0,12235.0
渋谷区,2020,372568.0,51011.0,46655.0,81110.0,12235.0
中野区,2015,119547.0,31218.0,81989.0,80516.0,12497.0
中野区,2020,118550.0,29902.0,88796.0,88519.0,12497.0
板橋区,2015,185338.0,55824.0,158740.0,108197.0,15259.0
板橋区,2020,197858.0,57796.0,151160.0,116544.0,15259.0
新宿区,2015,519077.0,83025.0,74119.0,99328.0,17979.0
新宿区,2020,504305.0,87892.0,77018.0,124313.0,17979.0
杉並区,2015,162076.0,55044.0,148177.0,114678.0,18092.0
杉並区,2020,161932.0,54243.0,143630.0,138262.0,18092.0
中央区,2015,534656.0,10298.0,31358.0,32291.0,24787.0
中央区,2020,550870.0,9553.0,30674.0,42293.0,24787.0
江東区,2015,345287.0,42970.0,144792.0,75483.0,25281.0
江東区,2020,330188.0,39412.0,139076.0,125137.0,25281.0
大田区,2015,328994.0,57941.0,197879.0,109051.0,28162.0
大田区,2020,338090.0,58832.0,201050.0,124055.0,28162.0
港区,2015,761174.0,45898.0,54922.0,78791.0,31888.0
港区,2020,749814.0,44923.0,52095.0,125841.0,31888.0
品川区,2015,332671.0,40170.0,98475.0,72706.0,38134.0
品川区,2020,336262.0,41870.0,99306.0,104718.0,38134.0
千代田区,2015,755559.0,69443.0,11159.0,16907.0,50712.0
千代田区,2020,725446.0,76589.0,10897.0,90848.0,50712.0
