year,地域コード,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,昼間人口／人口密度（人／平方キロメートル）,常住人口／人口密度（人／平方キロメートル）
2020,13000,16315279.0,8358554.0,7956725.0,14047594.0,6898388.0,7149206.0,116.1,121.2,111.3,7436.2,6402.6
2020,13100,12346348.0,6471672.0,5874676.0,9733276.0,4774402.0,4958874.0,126.8,135.5,118.5,19674.5,15510.5
2020,13101,903780.0,551523.0,352257.0,66680.0,33637.0,33043.0,1355.4,1639.6,1066.1,77511.1,5718.7
2020,13102,633390.0,370085.0,263305.0,169179.0,80931.0,88248.0,374.4,457.3,298.4,62036.2,16569.9
2020,13103,972673.0,575237.0,397436.0,260486.0,123410.0,137076.0,373.4,466.1,289.9,47750.3,12787.7
2020,13104,793528.0,435655.0,357873.0,349385.0,174822.0,174563.0,227.1,249.2,205.0,43552.6,19175.9
2020,13105,353648.0,179702.0,173946.0,240069.0,115483.0,124586.0,147.3,155.6,139.6,31324.0,21263.9
2020,13106,307176.0,171189.0,135987.0,211444.0,108586.0,102858.0,145.3,157.7,132.2,30383.4,20914.3
2020,13107,281971.0,145534.0,136437.0,272085.0,134787.0,137298.0,103.6,108.0,99.4,20477.2,19759.3
2020,13108,633813.0,348577.0,285236.0,524310.0,258015.0,266295.0,120.9,135.1,107.1,14743.3,12196.1
2020,13109,582156.0,326592.0,255564.0,422488.0,208688.0,213800.0,137.8,156.5,119.5,25488.4,18497.7
2020,13110,301801.0,146570.0,155231.0,288088.0,135820.0,152268.0,104.8,107.9,101.9,20572.7,19637.9
2020,13111,722027.0,371384.0,350643.0,748081.0,372464.0,375617.0,96.5,99.7,93.4,11672.0,12093.1
2020,13112,854838.0,393786.0,461052.0,943664.0,445592.0,498072.0,90.6,88.4,92.6,14725.9,16256.1
2020,13113,551344.0,286429.0,264915.0,243883.0,117907.0,125976.0,226.1,242.9,210.3,36488.7,16140.5
2020,13114,325767.0,164067.0,161700.0,344880.0,172525.0,172355.0,94.5,95.1,93.8,20895.9,22121.9
2020,13115,498067.0,233114.0,264953.0,591108.0,284301.0,306807.0,84.3,82.0,86.4,14623.2,17354.9
2020,13116,412070.0,209012.0,203058.0,301599.0,151020.0,150579.0,136.6,138.4,134.9,31673.3,23182.1
2020,13117,332018.0,165977.0,166041.0,355213.0,176289.0,178924.0,93.5,94.2,92.8,16109.6,17235.0
2020,13118,193640.0,97876.0,95764.0,217475.0,107683.0,109792.0,89.0,90.9,87.2,19059.1,21405.0
2020,13119,523358.0,254548.0,268810.0,584483.0,286179.0,298304.0,89.5,88.9,90.1,16243.3,18140.4
2020,13120,601359.0,278413.0,322946.0,752608.0,361770.0,390838.0,79.9,77.0,82.6,12507.5,15653.2
2020,13121,619375.0,307042.0,312333.0,695043.0,347408.0,347635.0,89.1,88.4,89.8,11631.5,13052.5
2020,13122,376832.0,181916.0,194916.0,453093.0,225758.0,227335.0,83.2,80.6,85.7,10828.5,13019.9
2020,13123,571717.0,277444.0,294273.0,697932.0,351327.0,346605.0,81.9,79.0,84.9,11457.3,13986.6
2020,13200,3883827.0,1842578.0,2041249.0,4234381.0,2083444.0,2150937.0,91.7,88.4,94.9,4954.2,5401.3
2020,13201,574070.0,286392.0,287678.0,579355.0,291307.0,288048.0,99.1,98.3,99.9,3080.1,3108.5
2020,13202,207832.0,101720.0,106112.0,183581.0,91191.0,92390.0,113.2,111.5,114.9,8531.7,7536.2
2020,13203,162221.0,74731.0,87490.0,150149.0,71868.0,78281.0,108.0,104.0,111.8,14774.2,13674.8
2020,13204,175413.0,83343.0,92070.0,195391.0,94489.0,100902.0,89.8,88.2,91.2,10682.9,11899.6
2020,13205,120804.0,58079.0,62725.0,133535.0,66654.0,66881.0,90.5,87.1,93.8,1169.3,1292.6
2020,13206,249891.0,126508.0,123383.0,262790.0,131468.0,131322.0,95.1,96.2,94.0,8491.0,8929.3
2020,13207,105988.0,52597.0,53391.0,113949.0,56639.0,57310.0,93.0,92.9,93.2,6112.3,6571.5
2020,13208,215825.0,98464.0,117361.0,242614.0,117044.0,125570.0,89.0,84.1,93.5,10001.2,11242.5
2020,13209,389137.0,175438.0,213699.0,431079.0,210533.0,220546.0,90.3,83.3,96.9,5438.7,6024.9
2020,13210,110012.0,52120.0,57892.0,126074.0,61759.0,64315.0,87.3,84.4,90.0,9735.6,11157.0
