_id,階層,地域コード,地域,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,面積（平方キロメートル）,昼間人口／人口密度（人／平方キロメートル）,常住人口／人口密度（人／平方キロメートル）
1,0,13000,東京都総数,16315279,8358554,7956725,14047594,6898388,7149206,116.1,121.2,111.3,2194.03,7436.2,6402.6
2,1,13100,区部,12346348,6471672,5874676,9733276,4774402,4958874,126.8,135.5,118.5,627.53,19674.5,15510.5
3,2,13101,千代田区,903780,551523,352257,66680,33637,33043,1355.4,1639.6,1066.1,11.66,77511.1,5718.7
4,2,13102,中央区,633390,370085,263305,169179,80931,88248,374.4,457.3,298.4,10.21,62036.2,16569.9
5,2,13103,港区,972673,575237,397436,260486,123410,137076,373.4,466.1,289.9,20.37,47750.3,12787.7
6,2,13104,新宿区,793528,435655,357873,349385,174822,174563,227.1,249.2,205.0,18.22,43552.6,19175.9
7,2,13105,文京区,353648,179702,173946,240069,115483,124586,147.3,155.6,139.6,11.29,31324.0,21263.9
8,2,13106,台東区,307176,171189,135987,211444,108586,102858,145.3,157.7,132.2,10.11,30383.4,20914.3
9,2,13107,墨田区,281971,145534,136437,272085,134787,137298,103.6,108.0,99.4,13.77,20477.2,19759.3
10,2,13108,江東区,633813,348577,285236,524310,258015,266295,120.9,135.1,107.1,42.99,14743.3,12196.1
11,2,13109,品川区,582156,326592,255564,422488,208688,213800,137.8,156.5,119.5,22.84,25488.4,18497.7
12,2,13110,目黒区,301801,146570,155231,288088,135820,152268,104.8,107.9,101.9,14.67,20572.7,19637.9
13,2,13111,大田区,722027,371384,350643,748081,372464,375617,96.5,99.7,93.4,61.86,11672.0,12093.1
14,2,13112,世田谷区,854838,393786,461052,943664,445592,498072,90.6,88.4,92.6,58.05,14725.9,16256.1
15,2,13113,渋谷区,551344,286429,264915,243883,117907,125976,226.1,242.9,210.3,15.11,36488.7,16140.5
16,2,13114,中野区,325767,164067,161700,344880,172525,172355,94.5,95.1,93.8,15.59,20895.9,22121.9
17,2,13115,杉並区,498067,233114,264953,591108,284301,306807,84.3,82.0,86.4,34.06,14623.2,17354.9
18,2,13116,豊島区,412070,209012,203058,301599,151020,150579,136.6,138.4,134.9,13.01,31673.3,23182.1
19,2,13117,北区,332018,165977,166041,355213,176289,178924,93.5,94.2,92.8,20.61,16109.6,17235.0
20,2,13118,荒川区,193640,97876,95764,217475,107683,109792,89.0,90.9,87.2,10.16,19059.1,21405.0
21,2,13119,板橋区,523358,254548,268810,584483,286179,298304,89.5,88.9,90.1,32.22,16243.3,18140.4
22,2,13120,練馬区,601359,278413,322946,752608,361770,390838,79.9,77.0,82.6,48.08,12507.5,15653.2
