階層,地域コード,地域,昼間通学者／総数／令和２（2020）年（人）,昼間通学者／総数／平成27（2015）年（人）,昼間通学者／総数／増減数（人）,昼間通学者／総数／増減率（％）,昼間通学者／男／令和２（2020）年（人）,昼間通学者／男／平成27（2015）年（人）,昼間通学者／男／増減数（人）,昼間通学者／男／増減率（％）,昼間通学者／女／令和２（2020）年（人）,昼間通学者／女／平成27（2015）年（人）,昼間通学者／女／増減数（人）,昼間通学者／女／増減率（％）,常住通学者／総数／令和２（2020）年（人）,常住通学者／総数／平成27（2015）年（人）,常住通学者／総数／増減数（人）,常住通学者／総数／増減率（％）,常住通学者／男／令和２（2020）年（人）,常住通学者／男／平成27（2015）年（人）,常住通学者／男／増減数（人）,常住通学者／男／増減率（％）,常住通学者／女／令和２（2020）年(人),常住通学者／女／平成27（2015）年（人）,常住通学者／増減数／女（人）,常住通学者／増減率／女（％）,流入通学者／総数／令和２（2020）年（人）,流入通学者／総数／平成27（2015）年（人）,流入通学者／総数／増減数（人）,流入通学者／総数／増減率（％）,流入通学者／男／令和２（2020）年（人）,流入通学者／男／平成27年（2015）年（人）,流入通学者／男／増減数（人）,流入通学者／男／増減率（％）,流入通学者／女／令和２（2020）年（人）,流入通学者／女／平成27年（2015）年（人）,流入通学者／女／増減数（人）,流入通学者／女／増減率（％）,流出通学者／総数／令和２（2020）年（人）,流出通学者／総数／平成27（2015）年（人）,流出通学者／総数／増減数（人）,流出通学者／総数／増減率（％）,流出通学者／男／令和２（2020）年（人）,流出通学者／男／平成27年（2015）年（人）,流出通学者／男／増減数（人）,流出通学者／男／増減率（％）,流出通学者／女／令和２（2020）年（人）,流出通学者／女／平成27年（2015）年（人）,流出通学者／女／増減数（人）,流出通学者／女／増減率（％）,流入超過通学者／総数／令和２（2020）年（人）,流入超過通学者／総数／平成27（2015）年（人）,流入超過通学者／総数／増減数（人）,流入超過通学者／男／令和２（2020）年（人）,流入超過通学者／男／平成27（2015）年（人）,流入超過通学者／男／増減数(人),流入超過通学者／女／令和２（2020）年（人）,流入超過通学者／女／平成27（2015）年（人）,流入超過通学者／女／増減数（人）,残留通学者／総数／令和２（2020）年（人）,残留通学者／総数／平成27（2015）年（人）,残留通学者／総数／増減数（人）,残留通学者／総数／増減率（％）,残留通学者／男／令和２（2020）年（人）,残留通学者／男／平成27（2015）年（人）,残留通学者／男／増減数（人）,残留通学者／男／増減率（％）,残留通学者／女／令和２（2020）年（人）,残留通学者／女／平成27（2015）年（人）,残留通学者／女／増減数（人）,残留通学者／女／増減率（％）,昼夜間通学者比率／総数／令和２（2020）年（％）,昼夜間通学者比率／総数／平成27（2015）年（％）,昼夜間通学者比率／総数／増減数(人),昼夜間通学者比率／総数／増減率(％),昼夜間通学者比率／男／令和２（2020）年（％）,昼夜間通学者比率／男／平成27（2015）年（％）,昼夜間通学者比率／男／増減数（人）,昼夜間通学者比率／男／増減率（％）,昼夜間通学者比率／女／令和２（2020）年（％）,昼夜間通学者比率／女／平成27（2015）年（％）,昼夜間通学者比率／女／増減数（人）,昼夜間通学者比率／女／増減率（％）,面積（平方キロメートル）,人口密度／昼間通学者（人／平方キロメートル）,人口密度／常住通学者（人／平方キロメートル）
0,13000,東京都総数,1573582,1679335,-105753,-6.3,806714,864244,-57530,-6.7,766868,815091,-48223,-5.9,1373261,1421603,-48342,-3.4,709316,737130,-27814,-3.8,663945,684473,-20528,-3.0,256398,327011,-70613,-21.6,129199,166858,-37659,-22.6,127199,160153,-32954,-20.6,56077,69279,-13202,-19.1,31801,39744,-7943,-20.0,24276,29535,-5259,-17.8,200321,257732,-57411,97398,127114,-29716,102923,130618,-27695,1317184,1352324,-35140,-2.6,677515,697386,-19871,-2.8,639669,654938,-15269,-2.3,114.6,118.1,-3.5,-3.0,113.7,117.2,-3.5,-3.0,115.5,119.1,-3.6,-3.0,2194.03,717.2,625.9
1,13100,区部,1069149,1133360,-64211,-5.7,545507,580791,-35284,-6.1,523642,552569,-28927,-5.2,884026,892019,-7993,-0.9,454517,460368,-5851,-1.3,429509,431651,-2142,-0.5,251026,317539,-66513,-20.9,126179,161768,-35589,-22.0,124847,155771,-30924,-19.9,65903,76198,-10295,-13.5,35189,41345,-6156,-14.9,30714,34853,-4139,-11.9,185123,241341,-56218,90990,120423,-29433,94133,120918,-26785,818123,815821,2302,0.3,419328,419023,305,0.1,398795,396798,1997,0.5,120.9,127.1,-6.2,-4.9,120.0,126.2,-6.2,-4.9,121.9,128.0,-6.1,-4.8,627.53,1703.7,1408.7
2,13101,千代田区,59970,69443,-9473,-13.6,26799,33328,-6529,-19.6,33171,36115,-2944,-8.2,7046,5654,1392,24.6,3496,2800,696,24.9,3550,2854,696,24.4,54669,65405,-10736,-16.4,24188,31337,-7149,-22.8,30481,34068,-3587,-10.5,1745,1616,129,8.0,885,809,76,9.4,860,807,53,6.6,52924,63789,-10865,23303,30528,-7225,29621,33261,-3640,5301,4038,1263,31.3,2611,1991,620,31.1,2690,2047,643,31.4,851.1,1228.2,-377.1,-30.7,766.6,1190.3,-423.7,-35.6,934.4,1265.4,-331.0,-26.2,11.66,5143.2,604.3
2,13102,中央区,12608,10298,2310,22.4,6138,4963,1175,23.7,6470,5335,1135,21.3,14224,10667,3557,33.3,7154,5382,1772,32.9,7070,5285,1785,33.8,2884,3277,-393,-12.0,1207,1347,-140,-10.4,1677,1930,-253,-13.1,4500,3646,854,23.4,2223,1766,457,25.9,2277,1880,397,21.1,-1616,-369,-1247,-1016,-419,-597,-600,50,-650,9724,7021,2703,38.5,4931,3616,1315,36.4,4793,3405,1388,40.8,88.6,96.5,-7.9,-8.2,85.8,92.2,-6.4,-6.9,91.5,100.9,-9.4,-9.3,10.21,1234.9,1393.1
2,13103,港区,42777,45898,-3121,-6.8,21036,22780,-1744,-7.7,21741,23118,-1377,-6.0,22244,20072,2172,10.8,11308,10214,1094,10.7,10936,9858,1078,10.9,26661,31232,-4571,-14.6,12790,15299,-2509,-16.4,13871,15933,-2062,-12.9,6128,5406,722,13.4,3062,2733,329,12.0,3066,2673,393,14.7,20533,25826,-5293,9728,12566,-2838,10805,13260,-2455,16116,14666,1450,9.9,8246,7481,765,10.2,7870,7185,685,9.5,192.3,228.7,-36.4,-15.9,186.0,223.0,-37.0,-16.6,198.8,234.5,-35.7,-15.2,20.37,2100.0,1092.0
2,13104,新宿区,70931,83025,-12094,-14.6,39835,47796,-7961,-16.7,31096,35229,-4133,-11.7,24192,25266,-1074,-4.3,12193,12976,-783,-6.0,11999,12290,-291,-2.4,54461,66148,-11687,-17.7,31264,38819,-7555,-19.5,23197,27329,-4132,-15.1,7722,8389,-667,-8.0,3622,3999,-377,-9.4,4100,4390,-290,-6.6,46739,57759,-11020,27642,34820,-7178,19097,22939,-3842,16470,16877,-407,-2.4,8571,8977,-406,-4.5,7899,7900,-1,0.0,293.2,328.6,-35.4,-10.8,326.7,368.3,-41.6,-11.3,259.2,286.6,-27.4,-9.6,18.22,3893.0,1327.8
2,13105,文京区,62616,67476,-4860,-7.2,32399,34963,-2564,-7.3,30217,32513,-2296,-7.1,25836,24673,1163,4.7,13597,13256,341,2.6,12239,11417,822,7.2,44869,51436,-6567,-12.8,22983,26278,-3295,-12.5,21886,25158,-3272,-13.0,8089,8633,-544,-6.3,4181,4571,-390,-8.5,3908,4062,-154,-3.8,36780,42803,-6023,18802,21707,-2905,17978,21096,-3118,17747,16040,1707,10.6,9416,8685,731,8.4,8331,7355,976,13.3,242.4,273.5,-31.1,-11.4,238.3,263.8,-25.5,-9.7,246.9,284.8,-37.9,-13.3,11.29,5546.1,2288.4
2,13106,台東区,16499,17319,-820,-4.7,8522,8824,-302,-3.4,7977,8495,-518,-6.1,14285,14698,-413,-2.8,7326,7562,-236,-3.1,6959,7136,-177,-2.5,6890,7495,-605,-8.1,3531,3766,-235,-6.2,3359,3729,-370,-9.9,4676,4874,-198,-4.1,2335,2504,-169,-6.7,2341,2370,-29,-1.2,2214,2621,-407,1196,1262,-66,1018,1359,-341,9609,9824,-215,-2.2,4991,5058,-67,-1.3,4618,4766,-148,-3.1,115.5,117.8,-2.3,-2.0,116.3,116.7,-0.4,-0.3,114.6,119.0,-4.4,-3.7,10.11,1631.9,1413.0
2,13107,墨田区,21555,21302,253,1.2,11385,11461,-76,-0.7,10170,9841,329,3.3,21592,22193,-601,-2.7,11113,11515,-402,-3.5,10479,10678,-199,-1.9,6404,6380,24,0.4,3530,3690,-160,-4.3,2874,2690,184,6.8,6441,7271,-830,-11.4,3258,3744,-486,-13.0,3183,3527,-344,-9.8,-37,-891,854,272,-54,326,-309,-837,528,15151,14922,229,1.5,7855,7771,84,1.1,7296,7151,145,2.0,99.8,96.0,3.8,4.0,102.4,99.5,2.9,2.9,97.1,92.2,4.9,5.3,13.77,1565.4,1568.0
2,13108,江東区,45235,42970,2265,5.3,24330,22767,1563,6.9,20905,20203,702,3.5,51264,48999,2265,4.6,26490,25404,1086,4.3,24774,23595,1179,5.0,8926,9039,-113,-1.3,5429,5052,377,7.5,3497,3987,-490,-12.3,14955,15068,-113,-0.7,7589,7689,-100,-1.3,7366,7379,-13,-0.2,-6029,-6029,0,-2160,-2637,477,-3869,-3392,-477,36309,33931,2378,7.0,18901,17715,1186,6.7,17408,16216,1192,7.4,88.2,87.7,0.5,0.6,91.8,89.6,2.2,2.5,84.4,85.6,-1.2,-1.4,42.99,1052.2,1192.5
