_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
1,0,1,総数,0,13000,東京都,8029649,5962306,654313,4607282,2067343,2506080,2506080,438737,438737
2,1,2,第１次産業,0,13000,東京都,23182,21996,11165,9521,1186,2269,2269,1083,1083
3,2,3,農業，林業,0,13000,東京都,22320,21286,11000,9033,1034,2080,2080,1046,1046
4,3,4,うち農業,0,13000,東京都,21651,20747,10932,8613,904,1910,1910,1006,1006
5,2,5,漁業,0,13000,東京都,862,710,165,488,152,189,189,37,37
6,1,6,第２次産業,0,13000,東京都,1201617,873231,97832,636108,328386,438585,438585,110199,110199
7,2,7,鉱業，採石業，砂利採取業,0,13000,東京都,2164,1428,97,1283,736,765,765,29,29
8,2,8,建設業,0,13000,東京都,444233,316605,44098,222502,127628,159860,159860,32232,32232
9,2,9,製造業,0,13000,東京都,755220,555198,53637,412323,200022,277960,277960,77938,77938
10,1,10,第３次産業,0,13000,東京都,6542618,4833623,513500,3884565,1708995,2031092,2031092,322097,322097
11,2,11,電気・ガス・熱供給・水道業,0,13000,東京都,33671,21331,698,18275,12340,14431,14431,2091,2091
12,2,12,情報通信業,0,13000,東京都,939797,606608,125093,446817,333189,360931,360931,27742,27742
13,2,13,運輸業，郵便業,0,13000,東京都,386637,280449,13422,223549,106188,139414,139414,33226,33226
14,2,14,卸売業，小売業,0,13000,東京都,1208755,869421,68949,717398,339334,400050,400050,60716,60716
15,2,15,金融業，保険業,0,13000,東京都,368001,237052,11502,209135,130949,144017,144017,13068,13068
16,2,16,不動産業，物品賃貸業,0,13000,東京都,309632,235012,59654,155138,74620,85978,85978,11358,11358
17,2,17,学術研究，専門・技術サービス業,0,13000,東京都,551496,409169,104905,273546,142327,166240,166240,23913,23913
18,2,18,宿泊業，飲食サービス業,0,13000,東京都,425686,333047,20034,286454,92639,107521,107521,14882,14882
19,2,19,生活関連サービス業，娯楽業,0,13000,東京都,266723,210613,28125,159610,56110,71689,71689,15579,15579
20,2,20,教育，学習支援業,0,13000,東京都,372660,305721,24211,246674,66939,96916,96916,29977,29977
21,2,21,医療，福祉,0,13000,東京都,731375,643400,19660,563258,87975,136566,136566,48591,48591
