_id,地域階層,地域コード,地域,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,面積（キロ平方メートル）,人口密度／昼間人口（人/キロ平方メートル）,人口密度／常住人口（人/キロ平方メートル）
1,0,13000,東京都総数,15920405,8276840,7643565,13515271,6666690,6848581,117.8,124.2,111.6,2190.93,7266.5,6168.7
2,1,13100,区部,12033592,6429520,5604072,9272740,4567247,4705493,129.8,140.8,119.1,626.7,19201.5,14796.1
3,2,13101,千代田区,853068,541135,311933,58406,29343,29063,1460.6,1844.2,1073.3,11.66,73161.9,5009.1
4,2,13102,中央区,608603,371513,237090,141183,67536,73647,431.1,550.1,321.9,10.21,59608.5,13827.9
5,2,13103,港区,940785,578045,362740,243283,114717,128566,386.7,503.9,282.1,20.37,46184.8,11943.2
6,2,13104,新宿区,775549,438794,336755,333560,167258,166302,232.5,262.3,202.5,18.22,42565.8,18307.4
7,2,13105,文京区,346132,179619,166513,219724,105990,113734,157.5,169.5,146.4,11.29,30658.3,19461.8
8,2,13106,台東区,303931,173096,130835,198073,101982,96091,153.4,169.7,136.2,10.11,30062.4,19591.8
9,2,13107,墨田区,279181,147129,132052,256274,127925,128349,108.9,115,102.9,13.77,20274.6,18611
10,2,13108,江東区,608532,342450,266082,498109,246750,251359,122.2,138.8,105.9,40.16,15152.7,12403.1
11,2,13109,品川区,544022,311612,232410,386855,191090,195765,140.6,163.1,118.7,22.84,23818.8,16937.6
12,2,13110,目黒区,293832,145165,148667,277622,130947,146675,105.8,110.9,101.4,14.67,20029.4,18924.5
13,2,13111,大田区,693865,363471,330394,717082,359753,357329,96.8,101,92.5,60.66,11438.6,11821.3
14,2,13112,世田谷区,856870,398659,458211,903346,428874,474472,94.9,93,96.6,58.05,14760.9,15561.5
15,2,13113,渋谷区,539109,286414,252695,224533,107986,116547,240.1,265.2,216.8,15.11,35679,14859.9
16,2,13114,中野区,313270,159163,154107,328215,165382,162833,95.4,96.2,94.6,15.59,20094.3,21052.9
17,2,13115,杉並区,479975,223384,256591,563997,271737,292260,85.1,82.2,87.8,34.06,14092,16558.9
18,2,13116,豊島区,417146,216834,200312,291167,146827,144340,143.3,147.7,138.8,13.01,32063.5,22380.2
19,2,13117,北区,329753,166442,163311,341076,169829,171247,96.7,98,95.4,20.61,15999.7,16549.1
20,2,13118,荒川区,194004,98385,95619,212264,105113,107151,91.4,93.6,89.2,10.16,19094.9,20892.1
21,2,13119,板橋区,508099,247982,260117,561916,276592,285324,90.4,89.7,91.2,32.22,15769.7,17440
22,2,13120,練馬区,605084,284864,320220,721722,351609,370113,83.8,81,86.5,48.08,12584.9,15010.9
23,2,13121,足立区,608968,302334,306634,670122,334922,335200,90.9,90.3,91.5,53.25,11436,12584.5
24,2,13122,葛飾区,372335,180857,191478,442913,221621,221292,84.1,81.6,86.5,34.8,10699.3,12727.4
25,2,13123,江戸川区,561479,272173,289306,681298,343464,337834,82.4,79.2,85.6,49.9,11252.1,13653.3
26,1,13200,市部,3798280,1801623,1996657,4157706,2056488,2101218,91.4,87.6,95,784.2,4843.5,5301.8
