_id,地域階層,地域コード,地域,昼間人口／総数／（人）,昼間人口／就業者(15歳以上)（人）,昼間人口／通学者（人）,昼間人口／従業も通学もしない(人),常住人口／総数(人）,常住人口／就業者(15歳以上)(人）,常住人口／通学者（人）,常住人口／従業も通学もしない(人)
1,0,13000,東京都総数,15920405,8006342,1679335,3829543,13515271,5858959,1421603,3829543
2,1,13100,区部,12033592,6499325,1133360,2447298,9272740,3979836,892019,2447298
3,2,13101,千代田区,853068,755559,69443,11159,58406,24692,5654,11159
4,2,13102,中央区,608603,534656,10298,31358,141183,66868,10667,31358
5,2,13103,港区,940785,761174,45898,54922,243283,89508,20072,54922
6,2,13104,新宿区,775549,519077,83025,74119,333560,134848,25266,74119
7,2,13105,文京区,346132,178831,67476,52242,219724,95226,24673,52242
8,2,13106,台東区,303931,189188,17319,44968,198073,85952,14698,44968
9,2,13107,墨田区,279181,146122,21302,69207,256274,122324,22193,69207
10,2,13108,江東区,608532,345287,42970,144792,498109,228833,48999,144792
11,2,13109,品川区,544022,332671,40170,98475,386855,182766,32908,98475
12,2,13110,目黒区,293832,128729,32378,69252,277622,119587,25311,69252
13,2,13111,大田区,693865,328994,57941,197879,717082,340829,69322,197879
14,2,13112,世田谷区,856870,276479,120823,227211,903346,350132,93647,227211
15,2,13113,渋谷区,539109,373203,50504,49856,224533,92718,16422,49856
16,2,13114,中野区,313270,119547,31218,81989,328215,140129,25581,81989
17,2,13115,杉並区,479975,162076,55044,148177,563997,248373,52769,148177
18,2,13116,豊島区,417146,215248,56061,67251,291167,121926,23405,67251
19,2,13117,北区,329753,130636,32147,97566,341076,144825,29281,97566
20,2,13118,荒川区,194004,80051,17443,57032,212264,95686,20068,57032
21,2,13119,板橋区,508099,185338,55824,158740,561916,239664,55314,158740
22,2,13120,練馬区,605084,183557,63681,205343,721722,284146,79728,205343
23,2,13121,足立区,608968,220322,58328,188422,670122,272140,67662,188422
24,2,13122,葛飾区,372335,133396,37943,131527,442913,195544,46372,131527
25,2,13123,江戸川区,561479,199184,66124,185811,681298,303120,82007,185811
26,1,13200,市部,3798280,1460484,538828,1351034,4157706,1838181,520554,1351034
27,2,13201,八王子市,576240,217711,107054,187392,577513,247855,78183,187392
28,2,13202,立川市,201294,98295,19661,52647,176295,74695,18261,52647
29,2,13203,武蔵野市,157319,69897,25082,42973,144730,66129,16261,42973
30,2,13204,三鷹市,165721,75426,20894,58697,186936,94138,23397,58697
31,2,13205,青梅市,124145,50092,12116,49558,137381,59533,15911,49558
32,2,13206,府中市,245693,113440,27793,80941,260274,123572,32241,80941
33,2,13207,昭島市,101452,44581,10372,38678,111539,51949,13091,38678
34,2,13208,調布市,197864,75753,27840,73775,229061,106263,28527,73775
35,2,13209,町田市,396333,132959,65380,147156,432348,177299,57055,147156
36,2,13210,小金井市,104257,33296,20438,36175,121396,55350,15523,36175
37,2,13211,小平市,166779,59635,25720,61720,190005,82716,25865,61720
38,2,13212,日野市,163592,59417,22299,60521,186283,80597,23810,60521
39,2,13213,東村山市,119897,40711,14117,52508,149956,66448,18439,52508
40,2,13214,国分寺市,104735,36374,15454,35994,122742,54565,15270,35994
41,2,13215,国立市,72066,26131,14762,22772,73655,32761,9721,22772
42,2,13218,福生市,52564,20016,4003,17400,58395,24773,5077,17400
43,2,13219,狛江市,59204,18144,5798,23845,80249,36320,8667,23845
44,2,13220,東大和市,68474,22184,8464,29879,85157,36999,10332,29879
45,2,13221,清瀬市,64456,20419,9342,26777,74864,30900,9269,26777
46,2,13222,東久留米市,92727,31434,10520,40301,116632,51694,14165,40301
47,2,13223,武蔵村山市,67614,26282,9012,22704,71229,29711,9198,22704
48,2,13224,多摩市,148156,61298,19157,50097,146631,61709,17220,50097
49,2,13225,稲城市,68782,24435,9760,27455,87636,40622,12427,27455
50,2,13227,羽村市,51875,24045,5408,18741,55833,26392,7019,18741
51,2,13228,あきる野市,69906,24694,9084,28058,80954,34702,10124,28058
52,2,13229,西東京市,157135,53815,19298,64270,200012,90489,25501,64270
53,1,13300,郡部,61274,31037,4633,22053,58334,26161,6569,22053
54,2,13303,瑞穂町,36767,20119,3082,10712,33445,15799,4080,10712
55,2,13305,日の出町,17205,7622,1234,7685,17446,7154,1943,7685
56,2,13307,檜原村,2089,965,91,1023,2209,1017,159,1023
57,2,13308,奥多摩町,5213,2331,226,2633,5234,2191,387,2633
58,1,13350,島部,27259,15496,2514,9158,26491,14781,2461,9158
59,2,13361,大島町,7998,4082,893,3022,7884,3989,872,3022
60,2,13362,利島村,416,308,35,73,337,239,25,73
61,2,13363,新島村,2805,1546,243,1015,2749,1495,238,1015
62,2,13364,神津島村,1938,1142,208,577,1891,1097,206,577
63,2,13381,三宅村,2574,1505,142,922,2482,1413,142,922
64,2,13382,御蔵島村,431,309,23,99,335,217,19,99
65,2,13401,八丈町,7731,4175,690,2794,7613,4064,683,2794
66,2,13402,青ヶ島村,225,181,19,25,178,139,14,25
67,2,13421,小笠原村,3141,2248,261,631,3022,2128,262,631
68,"",,"",,,,,,,,
69,平成27年国勢調査による東京都の昼間人口,,"",,,,,,,,
70,第2表　地域、昼間・常住、就業者（15歳以上）・通学者状態別人口,,"",,,,,,,,
71,注　1)　昼間・常住人口の総数については年齢・労働力不詳及び15歳未満就業者を含む。,,"",,,,,,,,
72,地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,"",,,,,,,,
