地域階層,地域コード,地域,昼間通学者／総数／平成27年(人）,昼間通学者／総数／平成22年(人）,昼間通学者／総数／増減数／平成22年～27年（人）,昼間通学者／総数／増減率／平成22年～27年（％）,昼間通学者／男／平成27年(人）,昼間通学者／男／平成22年(人）,昼間通学者／男／増減数／平成22年～27年（人）,昼間通学者／男／増減率／平成22年～27年（％）,昼間通学者／女／平成27年(人）,昼間通学者／女／平成22年(人）,昼間通学者／女／増減数／平成22年～27年（人）,昼間通学者／女／増減率／平成22年～27年（％）,常住通学者／総数／平成27年(人）,常住通学者／総数／平成22年(人）,常住通学者／総数／増減数／平成22年～27年（人）,常住通学者／総数／増減率／平成22年～27年（％）,常住通学者／男／平成27年(人）,常住通学者／男／平成22年(人）,常住通学者／男／増減数／平成22年～27年（人）,常住通学者／男／増減率／平成22年～27年（％）,常住通学者／女／平成27年(人）,常住通学者／女／平成22年(人）,常住通学者／女／増減数／平成22年～27年（人）,常住通学者／女／増減率／平成22年～27年（％）,流入通学者／総数／平成27年(人）,流入通学者／総数／平成22年(人）,流入通学者／総数／増減数／平成22年～27年（人）,流入通学者／総数／増減率／平成22年～27年（％）,流入通学者／男／平成27年(人）,流入通学者／男／平成22年(人）,流入通学者／男／増減数／平成22年～27年（人）,流入通学者／男／増減率／平成22年～27年（％）,流入通学者／女／平成27年(人）,流入通学者／女／平成22年(人）,流入通学者／女／増減数／平成22年～27年（人）,流入通学者／女／増減率／平成22年～27年（％）,流出通学者／総数／平成27年(人）,流出通学者／総数／平成22年(人）,流出通学者／総数／増減数／平成22年～27年（人）,流出通学者／総数／増減率／平成22年～27年（％）,流出通学者／男／平成27年(人）,流出通学者／男／平成22年(人）,流出通学者／男／増減数／平成22年～27年（人）,流出通学者／男／増減率／平成22年～27年（％）,流出通学者／女／平成27年(人）,流出通学者／女／平成22年(人）,流出通学者／女／増減数／平成22年～27年（人）,流出通学者／女／増減率／平成22年～27年（％）,流入超過通学者／総数／平成27年(人）,流入超過通学者／総数／平成22年(人）,流入超過通学者／総数／増減数／平成22年～27年（人）,流入超過通学者／男／平成27年(人）,流入超過通学者／男／平成22年(人）,流入超過通学者／男／増減数／平成22年～27年（人）,流入超過通学者／女／平成27年(人）,流入超過通学者／女／平成22年(人）,流入超過通学者／女／増減数／平成22年～27年（人）,残留通学者／総数／平成27年(人）,残留通学者／総数／平成22年(人）,残留通学者／総数／増減数／平成22年～27年（人）,残留通学者／総数／増減率／平成22年～27年（％）,残留通学者／男／平成27年(人）,残留通学者／男／平成22年(人）,残留通学者／男／増減数／平成22年～27年（人）,残留通学者／男／増減率／平成22年～27年（％）,残留通学者／女／平成27年(人）,残留通学者／女／平成22年(人）,残留通学者／女／増減数／平成22年～27年（人）,残留通学者／女／増減率／平成22年～27年（％）,昼夜間通学者比率／総数／平成27年,昼夜間通学者比率／総数／平成22年,昼夜間通学者比率／総数／増減数／平成22年～27年,昼夜間通学者比率／総数／増減率／平成22年～27年（％）,昼夜間通学者比率／男／平成27年,昼夜間通学者比率／男／平成22年,昼夜間通学者比率／男／増減数／平成22年～27年,昼夜間通学者比率／男／増減率／平成22年～27年（％）,昼夜間通学者比率／女／平成27年,昼夜間通学者比率／女／平成22年,昼夜間通学者比率／女／増減数／平成22年～27年,昼夜間通学者比率／女／増減率／平成22年～27年（％）,面　積（平方キロメートル）,人口密度／昼間通学者（人/平方キロメートル）,人口密度／常住通学者（人/平方キロメートル）
0,13000,東京都総数,1679335,1775247,-95912,-5.40274114,864244,919120,-54876,-5.970493516,815091,856127,-41036,-4.793214091,1421603,1520111,-98508,-6.48031624,737130,792209,-55079,-6.952584482,684473,727902,-43429,-5.966325137,327011,325984,1027,0.315046137,166858,167509,-651,-0.388635835,160153,158475,1678,1.058842089,69279,70848,-1569,-2.214600271,39744,40598,-854,-2.103551899,29535,30250,-715,-2.363636364,257732,255136,2596,127114,126911,203,130618,128225,2393,1352324,1449263,-96939,-6.7,697386,751611,-54225,-7.2,654938,697652,-42714,-6.1,118.1,116.8,1.3,1.1,117.2,116,1.2,1,119.1,117.6,1.5,1.3,2190.93,766.5,648.9
1,13100,区部,1133360,1187041,-53681,-4.522253233,580791,612539,-31748,-5.183016918,552569,574502,-21933,-3.817741279,892019,950600,-58581,-6.162528929,460368,492435,-32067,-6.511925432,431651,458165,-26514,-5.786998134,317539,316192,1347,0.426006983,161768,163482,-1714,-1.048433467,155771,152710,3061,2.004452885,76198,79751,-3553,-4.45511655,41345,43378,-2033,-4.686707548,34853,36373,-1520,-4.178923927,241341,236441,4900,120423,120104,319,120918,116337,4581,815821,870849,-55028,-6.3,419023,449057,-30034,-6.7,396798,421792,-24994,-5.9,127.1,124.9,2.2,1.8,126.2,124.4,1.8,1.4,128,125.4,2.6,2.1,626.7,1808.5,1423.4
2,13101,千代田区,69443,76589,-7146,-9.330321587,33328,39148,-5820,-14.86665985,36115,37441,-1326,-3.541572073,5654,5400,254,4.703703704,2800,2612,188,7.19754977,2854,2788,66,2.367288379,65405,72773,-7368,-10.12463414,31337,37283,-5946,-15.94828742,34068,35490,-1422,-4.006762468,1616,1584,32,2.02020202,809,747,62,8.299866131,807,837,-30,-3.584229391,63789,71189,-7400,30528,36536,-6008,33261,34653,-1392,4038,3816,222,5.8,1991,1865,126,6.8,2047,1951,96,4.9,1228.2,1418.3,-190.1,-13.4,1190.3,1498.8,-308.5,-20.6,1265.4,1342.9,-77.5,-5.8,11.66,5955.7,484.9
2,13102,中央区,10298,9553,745,7.798597299,4963,4584,379,8.267888307,5335,4969,366,7.365667136,10667,9705,962,9.91241628,5382,4916,466,9.479251424,5285,4789,496,10.35706828,3277,3422,-145,-4.237288136,1347,1402,-55,-3.92296719,1930,2020,-90,-4.455445545,3646,3574,72,2.014549524,1766,1734,32,1.84544406,1880,1840,40,2.173913044,-369,-152,-217,-419,-332,-87,50,180,-130,7021,6131,890,14.5,3616,3182,434,13.6,3405,2949,456,15.5,96.5,98.4,-1.9,-1.9,92.2,93.2,-1,-1.1,100.9,103.8,-2.9,-2.8,10.21,1008.6,1044.8
2,13103,港区,45898,44923,975,2.170380429,22780,22249,531,2.386624118,23118,22674,444,1.958189997,20072,18263,1809,9.905272956,10214,9173,1041,11.34852284,9858,9090,768,8.448844885,31232,32459,-1227,-3.780153424,15299,15996,-697,-4.357339335,15933,16463,-530,-3.219340339,5406,5799,-393,-6.777030523,2733,2920,-187,-6.404109589,2673,2879,-206,-7.155262244,25826,26660,-834,12566,13076,-510,13260,13584,-324,14666,12464,2202,17.7,7481,6253,1228,19.6,7185,6211,974,15.7,228.7,246,-17.3,-7,223,242.5,-19.5,-8,234.5,249.4,-14.9,-6,20.37,2253.2,985.4
2,13104,新宿区,83025,87892,-4867,-5.537477814,47796,51359,-3563,-6.937440371,35229,36533,-1304,-3.569375633,25266,31090,-5824,-18.73271148,12976,15837,-2861,-18.06529014,12290,15253,-2963,-19.42568675,66148,66516,-368,-0.553250346,38819,40239,-1420,-3.528914735,27329,26277,1052,4.003501161,8389,9714,-1325,-13.64010706,3999,4717,-718,-15.22153911,4390,4997,-607,-12.14728837,57759,56802,957,34820,35522,-702,22939,21280,1659,16877,21376,-4499,-21,8977,11120,-2143,-19.3,7900,10256,-2356,-23,328.6,282.7,45.9,16.2,368.3,324.3,44,13.6,286.6,239.5,47.1,19.7,18.22,4556.8,1386.7
2,13105,文京区,67476,69499,-2023,-2.910833249,34963,36486,-1523,-4.174203804,32513,33013,-500,-1.514554872,24673,24904,-231,-0.927561838,13256,13450,-194,-1.442379182,11417,11454,-37,-0.323031256,51436,53481,-2045,-3.823787887,26278,27820,-1542,-5.542774982,25158,25661,-503,-1.960173025,8633,8886,-253,-2.847175332,4571,4784,-213,-4.452341137,4062,4102,-40,-0.975134081,42803,44595,-1792,21707,23036,-1329,21096,21559,-463,16040,16018,22,0.1,8685,8666,19,0.2,7355,7352,3,0,273.5,279.1,-5.6,-2,263.8,271.3,-7.5,-2.8,284.8,288.2,-3.4,-1.2,11.29,5976.6,2185.4
2,13106,台東区,17319,17685,-366,-2.069550467,8824,8928,-104,-1.164874552,8495,8757,-262,-2.991892201,14698,15254,-556,-3.644945588,7562,7933,-371,-4.676667087,7136,7321,-185,-2.526977189,7495,7676,-181,-2.357998958,3766,3724,42,1.127819549,3729,3952,-223,-5.642712551,4874,5245,-371,-7.073403241,2504,2729,-225,-8.244778307,2370,2516,-146,-5.802861685,2621,2431,190,1262,995,267,1359,1436,-77,9824,10009,-185,-1.8,5058,5204,-146,-2.8,4766,4805,-39,-0.8,117.8,115.9,1.9,1.6,116.7,112.5,4.2,3.7,119,119.6,-0.6,-0.5,10.11,1713.1,1453.8
2,13107,墨田区,21302,23306,-2004,-8.598644126,11461,12790,-1329,-10.39093041,9841,10516,-675,-6.418790415,22193,23685,-1492,-6.299345577,11515,12163,-648,-5.327632985,10678,11522,-844,-7.325117167,6380,6908,-528,-7.643312102,3690,4274,-584,-13.66401497,2690,2634,56,2.12604404,7271,7287,-16,-0.219569096,3744,3647,97,2.659720318,3527,3640,-113,-3.104395604,-891,-379,-512,-54,627,-681,-837,-1006,169,14922,16398,-1476,-9,7771,8516,-745,-8.7,7151,7882,-731,-9.3,96,98.4,-2.4,-2.4,99.5,105.2,-5.7,-5.4,92.2,91.3,0.9,1,13.77,1547,1611.7
2,13108,江東区,42970,39412,3558,9.027707297,22767,20998,1769,8.424611868,20203,18414,1789,9.715433909,48999,47168,1831,3.881869064,25404,24529,875,3.567206164,23595,22639,956,4.222801361,9039,7835,1204,15.3669432,5052,4527,525,11.59708416,3987,3308,679,20.52599758,15068,15591,-523,-3.354499391,7689,8058,-369,-4.579300075,7379,7533,-154,-2.044338245,-6029,-7756,1727,-2637,-3531,894,-3392,-4225,833,33931,31577,2354,7.5,17715,16471,1244,7.6,16216,15106,1110,7.3,87.7,83.6,4.1,4.9,89.6,85.6,4,4.7,85.6,81.3,4.3,5.3,40.16,1070,1220.1
