地域階層,地域コード,地域,流入人口／総数（人）,流入人口／都内他地域から（人）,流入人口／他道府県から（人）,流入人口／通勤者／総数（人）,流入人口／通勤者／都内他地域から（人）,流入人口／通勤者／他道府県から（人）,流入人口／通学者／総数（人）,流入人口／通学者／総数／うち15歳以上(人),流入人口／通学者／都内他地域から（人）,流入人口／通学者／都内他地域から／うち15歳以上(人),流入人口／通学者／他道府県から（人）,流入人口／通学者／他道府県から／うち15歳以上(人),流出人口／総数（人）,流出人口／都内他地域へ（人）,流出人口／他道府県へ（人）,流出人口／通勤者／総数（人）,流出人口／通勤者／都内他地域へ（人）,流出人口／通勤者／他道府県へ（人）,流出人口／通学者／総数（人）,流出人口／通学者／総数／うち15歳以上(人),流出人口／通学者／都内他地域へ（人）,流出人口／通学者／都内他地域へ／うち15歳以上(人),流出人口／通学者／他道府県へ（人）,流出人口／通学者／他道府県へ／うち15歳以上(人),流入超過人口／総数（人）,流入超過人口／都内他地域（人）,流入超過人口／他道府県（人）,流入超過人口／通勤者／総数（人）,流入超過人口／通勤者／都内他地域（人）,流入超過人口／通勤者／他道府県（人）,流入超過人口／通学者／総数（人）,流入超過人口／通学者／総数／うち15歳以上(人),流入超過人口／通学者／都内他地域（人）,流入超過人口／通学者／都内他地域／うち15歳以上(人),流入超過人口／通学者／他道府県（人）,流入超過人口／通学者／他道府県／うち15歳以上(人)
0,13000,東京都総数,2906056,-,2906056,2579045,-,2579045,327011,308023,-,-,327011,308023,500941,-,500941,431662,-,431662,69279,61969,-,-,69279,61969,2405115,-,2405115,2147383,-,2147383,257732,246054,-,-,257732,246054
1,13100,区部,3180829,555890,2624939,2863290,492774,2370516,317539,297839,63116,59017,254423,238822,419999,103591,316408,343801,73550,270251,76198,66154,30041,25363,46157,40791,2760830,452299,2308531,2519489,419224,2100265,241341,231685,33075,33654,208266,198031
2,13101,千代田区,805792,413026,392766,740387,380193,360194,65405,59838,32833,28686,32572,31152,11136,9541,1595,9520,8187,1333,1616,1239,1354,1007,262,232,794656,403485,391171,730867,372006,358861,63789,58599,31479,27679,32310,30920
2,13102,中央区,503866,242154,261712,500589,240185,260404,3277,2854,1969,1617,1308,1237,36447,32563,3884,32801,29409,3392,3646,2819,3154,2401,492,418,467419,209591,257828,467788,210776,257012,-369,35,-1185,-784,816,819
2,13103,港区,738747,369783,368964,707515,352382,355133,31232,25790,17401,13652,13831,12138,41255,35792,5463,35849,31221,4628,5406,3960,4571,3266,835,694,697492,333991,363501,671666,321161,350505,25826,21830,12830,10386,12996,11444
2,13104,新宿区,511791,288226,223565,445643,252877,192766,66148,62915,35349,33057,30799,29858,69803,63247,6556,61414,55862,5552,8389,6647,7385,5743,1004,904,441988,224979,217009,384229,197015,187214,57759,56268,27964,27314,29795,28954
2,13105,文京区,192369,102919,89450,140933,75471,65462,51436,46248,27448,23314,23988,22934,65961,59273,6688,57328,51812,5516,8633,7130,7461,6058,1172,1072,126408,43646,82762,83605,23659,59946,42803,39118,19987,17256,22816,21862
2,13106,台東区,151349,70764,80585,143854,65803,78051,7495,6609,4961,4124,2534,2485,45492,40442,5050,40618,36263,4355,4874,4081,4179,3449,695,632,105857,30322,75535,103236,29540,73696,2621,2528,782,675,1839,1853
2,13107,墨田区,98921,50404,48517,92541,45718,46823,6380,5466,4686,3943,1694,1523,76014,68033,7981,68743,61915,6828,7271,6329,6118,5297,1153,1032,22907,-17629,40536,23798,-16197,39995,-891,-863,-1432,-1354,541,491
2,13108,江東区,254602,118503,136099,245563,112881,132682,9039,8184,5622,5011,3417,3173,144177,128392,15785,129109,115606,13503,15068,12774,12786,10716,2282,2058,110425,-9889,120314,116454,-2725,119179,-6029,-4590,-7164,-5705,1135,1115
2,13109,品川区,273741,120190,153551,255299,112098,143201,18442,16299,8092,6979,10350,9320,116574,100998,15576,105394,91648,13746,11180,9328,9350,7733,1830,1595,157167,19192,137975,149905,20450,129455,7262,6971,-1258,-754,8520,7725
2,13110,目黒区,98993,53834,45159,81451,43057,38394,17542,15992,10777,9661,6765,6331,82784,73371,9413,72309,64601,7708,10475,8112,8770,6675,1705,1437,16209,-19537,35746,9142,-21544,30686,7067,7880,2007,2986,5060,4894
2,13111,大田区,171174,59632,111542,159789,55208,104581,11385,10750,4424,4051,6961,6699,194390,156415,37975,171624,138472,33152,22766,19137,17943,15032,4823,4105,-23216,-96783,73567,-11835,-83264,71429,-11381,-8387,-13519,-10981,2138,2594
2,13112,世田谷区,186968,90971,95997,129451,65306,64145,57517,51010,25665,21735,31852,29275,233445,205211,28234,203104,180089,23015,30341,24997,25122,20700,5219,4297,-46477,-114240,67763,-73653,-114783,41130,27176,26013,543,1035,26633,24978
2,13113,渋谷区,368857,199786,169071,328293,180289,148004,40564,37414,19497,17161,21067,20253,54290,49144,5146,47808,43518,4290,6482,4903,5626,4154,856,749,314567,150642,163925,280485,136771,143714,34082,32511,13871,13007,20211,19504
2,13114,中野区,85389,56618,28771,68711,45286,23425,16678,14573,11332,9519,5346,5054,100334,93409,6925,89293,83330,5963,11041,9574,10079,8661,962,913,-14945,-36791,21846,-20582,-38044,17462,5637,4999,1253,858,4384,4141
2,13115,杉並区,93596,68659,24937,70106,52076,18030,23490,20677,16583,14094,6907,6583,177618,164882,12736,156403,145705,10698,21215,17747,19177,15826,2038,1921,-84022,-96223,12201,-86297,-93629,7332,2275,2930,-2594,-1732,4869,4662
2,13116,豊島区,205608,101936,103672,163661,81785,81876,41947,38083,20151,17410,21796,20673,79630,71220,8410,70339,63095,7244,9291,7702,8125,6638,1166,1064,125978,30716,95262,93322,18690,74632,32656,30381,12026,10772,20630,19609
2,13117,北区,84063,35622,48441,71214,28651,42563,12849,10443,6971,5346,5878,5097,95386,82391,12995,85403,73747,11656,9983,8831,8644,7585,1339,1246,-11323,-46769,35446,-14189,-45096,30907,2866,1612,-1673,-2239,4539,3851
2,13118,荒川区,45703,22897,22806,41175,20411,20764,4528,3685,2486,2004,2042,1681,63963,56594,7369,56810,50453,6357,7153,5998,6141,5071,1012,927,-18260,-33697,15437,-15635,-30042,14407,-2625,-2313,-3655,-3067,1030,754
2,13119,板橋区,97910,42451,55459,79429,34269,45160,18481,16325,8182,6900,10299,9425,151726,132378,19348,133755,116912,16843,17971,16097,15466,13776,2505,2321,-53816,-89927,36111,-54326,-82643,28317,510,228,-7284,-6876,7794,7104
2,13120,練馬区,74323,41194,33129,64188,34919,29269,10135,8336,6275,4938,3860,3398,190959,169231,21728,164777,146311,18466,26182,23144,22920,20089,3262,3055,-116636,-128037,11401,-100589,-111392,10803,-16047,-14808,-16645,-15151,598,343
2,13121,足立区,88787,29780,59007,80921,26519,54402,7866,7498,3261,3101,4605,4397,149939,122817,27122,132739,109095,23644,17200,15332,13722,12255,3478,3077,-61152,-93037,31885,-51818,-82576,30758,-9334,-7834,-10461,-9154,1127,1320
2,13122,葛飾区,53700,23656,30044,48036,20699,27337,5664,5264,2957,2701,2707,2563,124277,103952,20325,110184,93056,17128,14093,12587,10896,9837,3197,2750,-70577,-80296,9719,-62148,-72357,10209,-8429,-7323,-7939,-7136,-490,-187
2,13123,江戸川区,69539,27844,41695,62516,24666,37850,7023,6546,3178,2973,3845,3573,189358,159254,30104,166452,141218,25234,22906,20646,18036,16354,4870,4292,-119819,-131410,11591,-103936,-116552,12616,-15883,-14100,-14858,-13381,-1025,-719
1,13200,市部,393093,115621,277472,288843,83907,204936,104250,95802,31714,26643,72536,69159,752516,569858,182658,666540,506740,159800,85976,79645,63118,58716,22858,20929,-359423,-454237,94814,-377697,-422833,45136,18274,16157,-31404,-32073,49678,48230
2,13201,八王子市,125545,75167,50378,79234,50919,28315,46311,44546,24248,22917,22063,21629,126818,104641,22177,109378,90076,19302,17440,16349,14565,13661,2875,2688,-1273,-29474,28201,-30144,-39157,9013,28871,28197,9683,9256,19188,18941
2,13202,立川市,74435,60550,13885,66558,53612,12946,7877,7393,6938,6466,939,927,49435,45047,4388,42958,39209,3749,6477,5786,5838,5181,639,605,25000,15503,9497,23600,14403,9197,1400,1607,1100,1285,300,322
2,13203,武蔵野市,62732,49015,13717,46935,38306,8629,15797,13366,10709,8444,5088,4922,50143,46636,3507,43167,40203,2964,6976,5896,6433,5368,543,528,12589,2379,10210,3768,-1897,5665,8821,7470,4276,3076,4545,4394
2,13204,三鷹市,38465,31342,7123,32409,26811,5598,6056,5154,4531,3682,1525,1472,59680,55938,3742,51121,47956,3165,8559,7493,7982,6939,577,554,-21215,-24596,3381,-18712,-21145,2433,-2503,-2339,-3451,-3257,948,918
