_id,地域階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
1,0,,従業地・通学地／全国総数,…,1421603,892019,5654,10667,20072,25266,24673,14698,22193,48999,32908,25311,69322,93647,16422,25581,52769,23405,29281,20068,55314,79728,67662,46372,82007,520554,78183,18261,16261,23397,15911,32241,13091,28527,57055,15523,25865,23810,18439,15270,9721,5077,8667,10332,9269,14165,9198,17220,12427,7019,10124,25501,6569,4080,1943,159,387,2461,872,25,238,206,142,19,683,14,262,…,…,…,…,…,…,…,…,…
2,3,13000,従業地・通学地／東京都総数,1431654,1104643,654426,3658,7578,11030,18286,19120,9879,16474,36851,25798,18129,54771,66186,12117,20396,42709,17059,21369,14886,42317,56678,44586,33024,61525,442058,67776,16086,14022,18733,12826,28416,11441,25417,48598,13704,21892,20437,15440,12845,7947,4577,7119,8663,7360,11781,7006,13667,10570,5987,8137,21611,5746,3393,1827,152,374,2413,868,25,231,200,138,19,659,14,259,327011,308312,11035,4072,3935,100863,62343,126064,18699
3,4,13100,従業地・通学地／区部,941924,687501,624385,3496,7339,10503,17315,18467,9608,16104,35928,25078,17314,53342,60863,11247,18739,37553,16337,20754,14552,41156,52310,43777,32386,60217,62801,5049,1661,3899,4598,915,3948,968,5400,5157,2550,3433,1877,2344,2045,1177,385,2375,805,1350,2352,414,1622,1537,395,546,5999,307,198,78,9,22,8,2,-,1,1,3,-,1,-,-,254423,242730,9516,3294,2970,81768,55864,89318,11693
4,5,13101,従業地・通学地／千代田区,67709,35137,28772,2304,425,537,1197,1319,552,847,1927,763,675,1393,2872,559,887,1854,826,779,612,1579,1695,1334,1187,2649,6332,605,206,516,434,109,431,102,553,502,304,326,210,170,242,179,41,174,75,94,168,29,172,134,38,82,436,33,22,8,1,2,-,-,-,-,-,-,-,-,-,-,32572,31256,1518,473,364,9366,9878,9657,1316
5,5,13102,従業地・通学地／中央区,7701,6393,6190,20,4424,29,40,36,57,95,367,69,21,127,64,18,19,60,29,40,36,38,49,121,120,311,202,20,9,17,10,6,13,5,14,24,13,6,8,5,8,2,-,4,3,1,4,-,7,2,2,1,18,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1308,1242,54,18,13,337,484,336,66
6,5,13103,従業地・通学地／港区,37691,23860,21902,154,346,6459,438,632,233,297,946,1276,1089,2319,1946,608,342,812,321,325,204,613,702,547,505,788,1952,184,41,171,138,19,125,32,156,247,94,78,58,50,82,56,10,62,14,27,46,5,62,53,4,9,129,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,13831,13416,211,83,99,2623,2932,7468,415
7,5,13104,従業地・通学地／新宿区,77049,46250,35426,198,291,466,10901,1178,324,437,1147,711,722,1215,2518,624,2468,2311,1214,819,429,1317,2821,904,770,1641,10769,888,353,659,547,158,577,172,789,686,481,860,308,488,412,189,66,225,147,160,327,72,244,211,70,102,1578,55,29,21,1,4,-,-,-,-,-,-,-,-,-,-,30799,29313,1054,371,389,10696,6650,10153,1486
8,5,13105,従業地・通学地／文京区,63095,39107,35053,230,339,443,857,11659,647,556,1215,542,637,907,1529,436,553,1058,1682,1444,847,2983,1993,1606,1141,1749,4032,380,118,251,289,81,189,64,301,298,193,205,140,151,143,88,34,99,59,99,192,23,112,72,36,29,386,22,17,4,1,-,-,-,-,-,-,-,-,-,-,-,23988,22838,1286,297,290,9457,6289,5219,1150
9,5,13106,従業地・通学地／台東区,13195,10661,10377,31,75,39,60,180,5700,417,301,89,26,145,77,26,37,60,90,180,586,152,101,889,521,595,281,28,10,16,16,1,10,4,20,30,12,23,6,13,7,3,2,3,4,6,10,2,14,2,1,1,37,1,1,-,-,-,2,-,-,-,-,1,-,1,-,-,2534,2388,151,50,29,872,872,414,146
10,5,13107,従業地・通学地／墨田区,16736,15042,14946,16,96,29,41,50,220,10356,836,54,12,100,32,15,32,34,26,57,173,56,43,598,830,1240,96,9,2,10,5,1,4,1,5,10,2,5,7,5,2,-,1,1,1,3,2,1,1,2,1,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1694,1636,58,17,5,373,1024,159,58
