year,地域コード,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,常住人口／総数（人）,常住人口／男（人）,常住人口／女（人）,昼夜間人口比率／総数（％）,昼夜間人口比率／男（％）,昼夜間人口比率／女（％）,昼間人口／人口密度（人／平方キロメートル）,常住人口／人口密度（人／平方キロメートル）
2015,13000,15920405.0,8276840.0,7643565.0,13515271.0,6666690.0,6848581.0,117.8,124.2,111.6,7266.5,6168.7
2015,13100,12033592.0,6429520.0,5604072.0,9272740.0,4567247.0,4705493.0,129.8,140.8,119.1,19201.5,14796.1
2015,13101,853068.0,541135.0,311933.0,58406.0,29343.0,29063.0,1460.6,1844.2,1073.3,73161.9,5009.1
2015,13102,608603.0,371513.0,237090.0,141183.0,67536.0,73647.0,431.1,550.1,321.9,59608.5,13827.9
2015,13103,940785.0,578045.0,362740.0,243283.0,114717.0,128566.0,386.7,503.9,282.1,46184.8,11943.2
2015,13104,775549.0,438794.0,336755.0,333560.0,167258.0,166302.0,232.5,262.3,202.5,42565.8,18307.4
2015,13105,346132.0,179619.0,166513.0,219724.0,105990.0,113734.0,157.5,169.5,146.4,30658.3,19461.8
2015,13106,303931.0,173096.0,130835.0,198073.0,101982.0,96091.0,153.4,169.7,136.2,30062.4,19591.8
2015,13107,279181.0,147129.0,132052.0,256274.0,127925.0,128349.0,108.9,115.0,102.9,20274.6,18611.0
2015,13108,608532.0,342450.0,266082.0,498109.0,246750.0,251359.0,122.2,138.8,105.9,15152.7,12403.1
2015,13109,544022.0,311612.0,232410.0,386855.0,191090.0,195765.0,140.6,163.1,118.7,23818.8,16937.6
2015,13110,293832.0,145165.0,148667.0,277622.0,130947.0,146675.0,105.8,110.9,101.4,20029.4,18924.5
2015,13111,693865.0,363471.0,330394.0,717082.0,359753.0,357329.0,96.8,101.0,92.5,11438.6,11821.3
2015,13112,856870.0,398659.0,458211.0,903346.0,428874.0,474472.0,94.9,93.0,96.6,14760.9,15561.5
2015,13113,539109.0,286414.0,252695.0,224533.0,107986.0,116547.0,240.1,265.2,216.8,35679.0,14859.9
2015,13114,313270.0,159163.0,154107.0,328215.0,165382.0,162833.0,95.4,96.2,94.6,20094.3,21052.9
2015,13115,479975.0,223384.0,256591.0,563997.0,271737.0,292260.0,85.1,82.2,87.8,14092.0,16558.9
2015,13116,417146.0,216834.0,200312.0,291167.0,146827.0,144340.0,143.3,147.7,138.8,32063.5,22380.2
2015,13117,329753.0,166442.0,163311.0,341076.0,169829.0,171247.0,96.7,98.0,95.4,15999.7,16549.1
2015,13118,194004.0,98385.0,95619.0,212264.0,105113.0,107151.0,91.4,93.6,89.2,19094.9,20892.1
2015,13119,508099.0,247982.0,260117.0,561916.0,276592.0,285324.0,90.4,89.7,91.2,15769.7,17440.0
2015,13120,605084.0,284864.0,320220.0,721722.0,351609.0,370113.0,83.8,81.0,86.5,12584.9,15010.9
2015,13121,608968.0,302334.0,306634.0,670122.0,334922.0,335200.0,90.9,90.3,91.5,11436.0,12584.5
2015,13122,372335.0,180857.0,191478.0,442913.0,221621.0,221292.0,84.1,81.6,86.5,10699.3,12727.4
2015,13123,561479.0,272173.0,289306.0,681298.0,343464.0,337834.0,82.4,79.2,85.6,11252.1,13653.3
2015,13200,3798280.0,1801623.0,1996657.0,4157706.0,2056488.0,2101218.0,91.4,87.6,95.0,4843.5,5301.8
2015,13201,576240.0,287891.0,288349.0,577513.0,291238.0,286275.0,99.8,98.9,100.7,3091.7,3098.6
2015,13202,201294.0,99330.0,101964.0,176295.0,86978.0,89317.0,114.2,114.2,114.2,8263.3,7237.1
2015,13203,157319.0,72828.0,84491.0,144730.0,69475.0,75255.0,108.7,104.8,112.3,14327.8,13181.2
2015,13204,165721.0,78303.0,87418.0,186936.0,90641.0,96295.0,88.7,86.4,90.8,10092.6,11384.7
2015,13205,124145.0,60114.0,64031.0,137381.0,68677.0,68704.0,90.4,87.5,93.2,1201.7,1329.8
2015,13206,245693.0,125960.0,119733.0,260274.0,132172.0,128102.0,94.4,95.3,93.5,8348.4,8843.8
2015,13207,101452.0,49930.0,51522.0,111539.0,55394.0,56145.0,91.0,90.1,91.8,5850.7,6432.5
2015,13208,197864.0,90185.0,107679.0,229061.0,111921.0,117140.0,86.4,80.6,91.9,9168.9,10614.5
2015,13209,396333.0,179291.0,217042.0,432348.0,212312.0,220036.0,91.7,84.4,98.6,5520.0,6021.6
2015,13210,104257.0,49668.0,54589.0,121396.0,60168.0,61228.0,85.9,82.5,89.2,9226.3,10743.0
2015,13211,166779.0,77664.0,89115.0,190005.0,93777.0,96228.0,87.8,82.8,92.6,8131.6,9264.0
2015,13212,163592.0,80655.0,82937.0,186283.0,93349.0,92934.0,87.8,86.4,89.2,5938.0,6761.6
2015,13213,119897.0,53593.0,66304.0,149956.0,73314.0,76642.0,80.0,73.1,86.5,6995.2,8748.9
2015,13214,104735.0,49545.0,55190.0,122742.0,60274.0,62468.0,85.3,82.2,88.3,9139.2,10710.5
2015,13215,72066.0,34365.0,37701.0,73655.0,35970.0,37685.0,97.8,95.5,100.0,8842.5,9037.4
2015,13218,52564.0,25486.0,27078.0,58395.0,29238.0,29157.0,90.0,87.2,92.9,5173.6,5747.5
2015,13219,59204.0,26688.0,32516.0,80249.0,39206.0,41043.0,73.8,68.1,79.2,9265.1,12558.5
2015,13220,68474.0,30701.0,37773.0,85157.0,41820.0,43337.0,80.4,73.4,87.2,5102.4,6345.5
2015,13221,64456.0,27837.0,36619.0,74864.0,35968.0,38896.0,86.1,77.4,94.1,6300.7,7318.1
2015,13222,92727.0,41462.0,51265.0,116632.0,56738.0,59894.0,79.5,73.1,85.6,7199.3,9055.3
2015,13223,67614.0,32469.0,35145.0,71229.0,35556.0,35673.0,94.9,91.3,98.5,4413.4,4649.4
2015,13224,148156.0,66707.0,81449.0,146631.0,71762.0,74869.0,101.0,93.0,108.8,7051.7,6979.1
2015,13225,68782.0,30845.0,37937.0,87636.0,44041.0,43595.0,78.5,70.0,87.0,3827.6,4876.8
2015,13227,51875.0,27488.0,24387.0,55833.0,28451.0,27382.0,92.9,96.6,89.1,5239.9,5639.7
