_id,階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
1,0,,従業地・通学地／全国総数,…,1373261,884026,7046,14224,22244,24192,25836,14285,21592,51264,35369,25380,66501,98854,17362,24804,51388,23694,29105,19969,52236,77241,63488,43365,74587,480972,69453,19356,15622,22206,13338,30965,12160,26092,52587,14067,23570,21656,16683,14237,8673,5006,8534,9725,8496,12629,8257,16397,12455,6244,8957,23607,5919,3360,2100,118,341,2344,797,36,230,230,128,30,599,11,283,…,…,…,…,…,…,…,…,…
2,3,13000,従業地・通学地／東京都総数,1332852,1076454,677767,4947,10955,14405,18220,21176,10609,16306,39986,28225,18246,52359,75651,12787,19731,41908,18125,22577,15443,40327,61554,45105,32187,56938,391486,57935,15260,12926,18073,10535,26192,10173,21055,41379,11894,18545,17844,13281,11805,7263,3841,6852,8023,6762,9957,5862,13743,10332,5101,7758,19095,4918,2691,1790,113,324,2283,786,36,223,223,125,30,569,11,280,256398,241087,9278,3897,3711,75964,49492,98745,15311
3,4,13100,従業地・通学地／区部,901784,700683,650758,4773,10707,13894,17343,20659,10383,15995,39171,27599,17604,51231,70420,11964,18377,37206,17551,22016,15161,39422,57166,44467,31717,55932,49669,3654,1345,3103,3818,621,3340,699,4069,4466,1987,2294,1467,1807,1579,861,277,2016,591,1128,1807,326,1422,1706,356,404,4526,227,136,59,9,23,29,11,3,6,3,-,-,6,-,-,201101,191325,7884,3089,2708,61838,44760,71046,9776
4,5,13101,従業地・通学地／千代田区,58135,31992,27080,3466,510,629,1115,1225,526,767,1798,731,604,1218,2453,484,657,1479,825,757,527,1264,1525,1259,962,2299,4886,466,139,337,348,78,331,77,421,456,232,218,194,122,211,105,29,122,61,60,132,37,136,202,40,48,284,24,11,10,2,1,2,-,-,-,1,-,-,1,-,-,26143,24768,1245,487,421,7012,7871,7732,1375
5,5,13102,従業地・通学地／中央区,9941,8911,8768,12,7057,56,34,51,56,99,328,64,18,130,59,16,28,46,28,25,45,40,55,128,97,296,143,12,1,8,11,-,15,1,11,24,4,7,5,2,8,3,-,5,2,2,2,-,4,5,1,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1030,998,38,17,14,233,450,246,32
6,5,13103,従業地・通学地／港区,35826,25090,23612,147,463,9165,398,632,242,257,1023,1341,947,1945,2006,563,282,652,341,303,254,507,602,485,356,701,1475,115,28,157,136,4,77,30,113,184,78,69,47,36,57,30,3,63,11,18,35,7,49,34,11,8,75,2,1,1,-,-,1,1,-,-,-,-,-,-,-,-,10736,10405,223,69,85,2018,2327,5683,331
7,5,13104,従業地・通学地／新宿区,65729,42155,34076,220,352,518,11268,1128,305,374,1109,666,579,1069,2475,612,2051,2025,1232,742,426,1250,2840,887,571,1377,8038,609,287,479,476,107,486,121,631,609,363,446,257,371,323,142,53,216,101,109,232,50,215,160,51,59,1085,40,26,11,1,2,1,-,-,1,-,-,-,-,-,-,23574,22320,867,373,343,7791,5117,7829,1254
8,5,13105,従業地・通学地／文京区,58890,39477,36375,273,393,457,825,14021,696,579,1400,566,452,848,1559,374,444,904,1673,1339,809,2622,1827,1583,1127,1604,3084,231,87,239,215,42,156,41,213,234,138,158,108,106,131,83,20,88,41,83,157,14,83,80,21,27,288,16,10,5,-,1,2,1,-,1,-,-,-,-,-,-,19413,18490,1006,293,268,7284,5250,4389,923
9,5,13106,従業地・通学地／台東区,13394,11505,11256,24,83,45,58,183,6504,346,386,72,28,129,77,22,24,64,74,230,557,117,100,973,531,629,242,16,7,11,10,3,12,4,13,20,4,16,9,12,5,3,5,4,2,5,12,3,13,3,1,3,46,6,1,4,1,-,1,1,-,-,-,-,-,-,-,-,1889,1812,98,36,30,676,641,331,77
10,5,13107,従業地・通学地／墨田区,17226,15580,15492,10,113,37,41,66,239,10822,917,45,8,80,42,15,25,39,23,62,198,48,37,679,738,1208,86,5,1,6,12,1,7,2,7,3,3,4,4,3,-,2,2,4,1,1,4,-,6,4,-,-,4,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1646,1615,46,11,10,338,1056,154,31
