_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
1,0,1,総数,0,13000,東京都,8006342,5858959,487363,4319605,2147383,2579045,2579045,431662,431662
2,1,2,第1次産業,0,13000,東京都,23918,22690,12615,9025,1228,2148,2148,920,920
3,2,3,農業，林業,0,13000,東京都,23062,22028,12433,8581,1034,1928,1928,894,894
4,3,4,うち農業,0,13000,東京都,22475,21526,12360,8224,949,1777,1777,828,828
5,2,5,漁業,0,13000,東京都,856,662,182,444,194,220,220,26,26
6,1,6,第2次産業,0,13000,東京都,1283753,898380,96296,663395,385373,501503,501503,116130,116130
7,2,7,鉱業，採石業，砂利採取業,0,13000,東京都,2526,1515,15,1396,1011,1087,1087,76,76
8,2,8,建設業,0,13000,東京都,438585,307352,49266,214916,131233,160816,160816,29583,29583
9,2,9,製造業,0,13000,東京都,842642,589513,47015,447083,253129,339600,339600,86471,86471
10,1,10,第3次産業,0,13000,東京都,5936937,4226110,344767,3507037,1710827,2013683,2013683,302856,302856
11,2,11,電気・ガス・熱供給・水道業,0,13000,東京都,30179,18870,52,16052,11309,13803,13803,2494,2494
12,2,12,情報通信業,0,13000,東京都,786703,444660,26196,387045,342043,368969,368969,26926,26926
13,2,13,運輸業，郵便業,0,13000,東京都,369172,258120,12190,208171,111052,141215,141215,30163,30163
14,2,14,卸売業，小売業,0,13000,東京都,1166753,817975,68993,674885,348778,408806,408806,60028,60028
15,2,15,金融業，保険業,0,13000,東京都,357894,219054,4392,197446,138840,153552,153552,14712,14712
16,2,16,不動産業，物品賃貸業,0,13000,東京都,282805,211311,56428,139033,71494,82208,82208,10714,10714
17,2,17,学術研究，専門・技術サービス業,0,13000,東京都,465552,326560,67558,233446,138992,160073,160073,21081,21081
18,2,18,宿泊業，飲食サービス業,0,13000,東京都,427351,331599,24612,284756,95752,110914,110914,15162,15162
19,2,19,生活関連サービス業，娯楽業,0,13000,東京都,254643,197977,27431,150678,56666,71527,71527,14861,14861
20,2,20,教育，学習支援業,0,13000,東京都,332628,267175,15350,219033,65453,95502,95502,30049,30049
21,2,21,医療，福祉,0,13000,東京都,622567,541051,17415,476556,81516,121842,121842,40326,40326
22,2,22,複合サービス事業,0,13000,東京都,25978,21121,24,19781,4857,5916,5916,1059,1059
23,2,23,サービス業（他に分類されないもの）,0,13000,東京都,575381,400993,23385,344646,174388,197437,197437,23049,23049
24,2,24,公務（他に分類されるものを除く）,0,13000,東京都,239331,169644,741,155509,69687,81919,81919,12232,12232
25,1,25,分類不能の産業,0,13000,東京都,761734,711779,33685,140148,49955,61711,61711,11756,11756
26,0,1,総数,1,13100,区部,6499325,3979836,349608,2799244,2519489,2863290,2370516,343801,270251
27,1,2,第1次産業,1,13100,区部,8177,6714,2941,3071,1463,2103,1687,640,500
28,2,3,農業，林業,1,13100,区部,7840,6583,2917,2989,1257,1876,1475,619,480
29,3,4,うち農業,1,13100,区部,7587,6405,2898,2886,1182,1747,1368,565,434
30,2,5,漁業,1,13100,区部,337,131,24,82,206,227,212,21,20
31,1,6,第2次産業,1,13100,区部,1021952,568755,69041,403824,453197,533774,457973,80577,69900
32,2,7,鉱業，採石業，砂利採取業,1,13100,区部,2266,867,11,796,1399,1444,1055,45,41
33,2,8,建設業,1,13100,区部,344149,191948,30431,130715,152201,174154,146604,21953,18504
34,2,9,製造業,1,13100,区部,675537,375940,38599,272313,299597,358176,310314,58579,51355
35,1,10,第3次産業,1,13100,区部,4858197,2854280,252837,2295292,2003917,2256512,1854315,252595,192142
36,2,11,電気・ガス・熱供給・水道業,1,13100,区部,25787,12595,39,10149,13192,15389,12882,2197,1803
37,2,12,情報通信業,1,13100,区部,729609,326877,18685,280800,402732,426661,353645,23929,17664
38,2,13,運輸業，郵便業,1,13100,区部,304979,178267,9916,140672,126712,148553,131432,21841,19702
39,2,14,卸売業，小売業,1,13100,区部,953866,553269,52264,444037,400597,447204,375719,46607,36714
40,2,15,金融業，保険業,1,13100,区部,322036,157754,3093,139029,164282,178057,145711,13775,9926
41,2,16,不動産業，物品賃貸業,1,13100,区部,240863,154607,44251,97601,86256,94876,77396,8620,6792
42,2,17,学術研究，専門・技術サービス業,1,13100,区部,405108,234418,47696,166572,170690,187402,151646,16712,13347
43,2,18,宿泊業，飲食サービス業,1,13100,区部,336294,229591,18569,192205,106703,119965,98656,13262,9439
44,2,19,生活関連サービス業，娯楽業,1,13100,区部,199459,132581,19821,96887,66878,78993,64195,12115,9828
45,2,20,教育，学習支援業,1,13100,区部,236915,161052,9712,120680,75863,104593,79017,28730,19197
46,2,21,医療，福祉,1,13100,区部,419291,327930,11844,276272,91361,126515,99245,35154,25405
47,2,22,複合サービス事業,1,13100,区部,17558,11945,15,10881,5613,6493,5155,880,606
48,2,23,サービス業（他に分類されないもの）,1,13100,区部,478099,269762,16544,228453,208337,225756,185008,17419,13858
49,2,24,公務（他に分類されるものを除く）,1,13100,区部,188333,103632,388,91054,84701,96055,74608,11354,7861
